# Characters ;Speed ;Acceleration ;Weight ;Handling ;Traction/Grip ;Mini-Turbo ;Total
Baby Peach. Baby Daisy ;2.25 ;4 ;2 ;5 ;4.25 ;4 ;21.5
Baby Rosalina. Lemmy Koopa ;2.25 ;4.25 ;2 ;4.75 ;3.75 ;4 ;21
Baby Mario/Luigi. Dry Bones ;2.5 ;4.25 ;2 ;4.5 ;4 ;3.75 ;21
Koopa Troopa. Lakitu. Bowser Jr. ;2.75 ;4 ;2.5 ;4.5 ;4.25 ;3.75 ;21.75
Toadette. Wendy. Isabelle ;2.75 ;4.25 ;2.5 ;4.25 ;3.5 ;3.75 ;21
Toad. ShyGuy. Larry ;3 ;4 ;2.75 ;4.25 ;4 ;3.5 ;21.5
Cat Peach. Inkling Girl. Villager Girl ;3.25 ;4 ;2.75 ;4 ;3.75 ;3.5 ;21.25
Peach. Daisy. Yoshi ;3.5 ;3.75 ;3 ;3.75 ;3.75 ;3.5 ;21.25
Tanooki Mario. Inkling Boy. Villager Boy ;3.5 ;3.75 ;3.25 ;3.75 ;3.25 ;3.5 ;21
Luigi. Iggy ;3.75 ;3.5 ;3.5 ;3.75 ;3.25 ;3.25 ;21
Mario. Ludwig ;3.75 ;3.5 ;3.5 ;3.5 ;3.5 ;3.25 ;21
Link. King Boo. Rosalina ;4 ;3.25 ;3.75 ;3.25 ;3.75 ;3.25 ;21.25
Donkey Kong. Roy. Waluigi ;4.5 ;3.25 ;4.0 ;3.0 ;3.0 ;3.0 ;20.75
Wario. Dry Bowser ;4.75 ;3.0 ;4.25 ;2.75 ;3.25 ;2.75 ;20.75
Metal/Gold Mario. Pink Gold Peach ;4.25 ;3.25 ;4.5 ;3.25 ;3.25 ;3.0 ;21.5
Bowser. Morton ;4.75 ;3.0 ;4.5 ;2.5 ;3.0 ;2.75 ;20.5
