# Kart Part ;Speed ;Acceleration ;Weight ;Handling ;Traction/Grip ;Mini-Turbo ;Total
Standard Kart ;0 ;0 ;0 ;0 ;0 ;0 ;0
Pipe Frame ;-0.5 ;+0.5 ;-0.25 ;+0.5 ;+0.25 ;+0.5 ;+1
Mach 8 ;0 ;-0.25 ;+0.25 ;-0.25 ;+0.25 ;0 ;0
Cat Cruiser ;-0.25 ;+0.25 ;0 ;+0.25 ;0 ;+0.25 ;+0.5
Steel Driver ;+0.25 ;-0.75 ;+0.5 ;-0.5 ;0 ;-0.5 ;-1
Circuit Special ;+0.5 ;-0.75 ;+0.25 ;-0.5 ;-0.5 ;-0.75 ;-1.75
Tri-Speeder ;+0.25 ;-0.75 ;+0.5 ;-0.5 ;0 ;-0.5 ;-1
Badwagon ;+0.5 ;-1.0 ;+0.5 ;-0.75 ;+0.5 ;-1.0 ;-1.25
Prancer ;+0.25 ;-0.5 ;-0.25 ;0 ;-0.25 ;-0.25 ;-1
Biddybuggy ;-0.75 ;+0.75 ;-0.5 ;+0.5 ;+0.5 ;+0.25 ;+0.75
Landship ;-0.5 ;+0.5 ;-0.5 ;-0.5 ;+0.75 ;+0.5 ;+0.25
Sneeker ;+0.25 ;-0.5 ;0 ;0 ;-0.75 ;-0.25 ;
Sports Coupe ;0 ;-0.25 ;+0.25 ;-0.25 ;+0.25 ;0 ;0
Gold Standard ;+0.25 ;-0.5 ;0 ;0 ;-0.75 ;-0.25 ;-1.25
Mercedes GLA ;+0.5 ;-1 ;+0.5 ;-0.75 ;+0.5 ;-1.0 ;-1.25
Mercedes Silver Arrow ;-0.25 ;+0.25 ;-0.25 ;+0.25 ;+0.5 ;+0.25 ;+0.75
Mercedes 300 SL Roadster ;0 ;0 ;0 ;0 ;0 ;0 ;0
Blue Falcon ;+0.25 ;-0.25 ;-0.5 ;-0.25 ;+0.5 ;0 ;-0.25
Tanooki Kart ;-0.25 ;-0.5 ;+0.25 ;+0.25 ;0 ;+1.0 ;+0.75
B Dasher ;+0.5 ;-0.75 ;+0.25 ;-0.5 ;-0.25 ;-0.5 ;-1.25
Streetle ;-0.5 ;+0.5 ;-0.5 ;-0.5 ;-0.25 ;+0.75 ;-0.5
P-Wing ;+0.5 ;-0.75 ;+0.25 ;-0.5 ;-0.25 ;-0.5 ;-1.25
Koopa Clown ;-0.25 ;-0.5 ;+0.25 ;+0.25 ;0 ;+1.0 ;+0.75
Standard Bike ;-0.25 ;+0.25 ;-0.25 ;+0.25 ;+0.5 ;+0.25 ;+0.75
Comet ;-0.25 ;+0.25 ;0 ;+0.25 ;0 ;+0.25 ;+0.5
Sport Bike ;+0.25 ;-0.5 ;-0.25 ;0 ;-0.25 ;-0.25 ;-1
The Duke ;0 ;0 ;0 ;0 ;0 ;0 ;0
Flame Rider ;-0.25 ;+0.25 ;-0.25 ;+0.25 ;+0.5 ;+0.25 ;+0.75
Varmint ;-0.5 ;+0.5 ;-0.25 ;+0.5 ;+0.25 ;+0.5 ;+1
Mr. Scooty ;-0.75 ;+0.75 ;-0.5 ;+0.5 ;+0.25 ;+0.75 ;+1
Jet Bike ;+0.25 ;-0.5 ;-0.25 ;0 ;-0.25 ;-0.25 ;-1
Yoshi Bike ;-0.25 ;+0.25 ;0 ;+0.25 ;0 ;+0.25 ;+0.5
Master Cycle ;+0.25 ;-0.5 ;0 ;0 ;-0.75 ;-0.25 ;-1.25
City Tripper ;-0.5 ;+0.5 ;-0.25 ;+0.5 ;+0.25 ;+0.5 ;+1
Standard ATV ;+0.5 ;-1.0 ;+0.5 ;-0.75 ;+0.5 ;-1.0 ;-1.25
Wild Wiggler ;-0.25 ;+0.25 ;-0.25 ;+0.25 ;+0.5 ;+0.25 ;+0.75
Teddy Buggy ;-0.25 ;+0.25 ;0 ;+0.25 ;0 ;+0.25 ;+0.5
Bone Rattler ;+0.25 ;-0.75 ;+0.5 ;-0.5 ;0 ;-0.5 ;-1
Inkstriker ;0 ;-0.25 ;+0.25 ;-0.25 ;+0.25 ;0 ;0
Splat Buggy ;+0.25 ;-0.25 ;-0.5 ;-0.25 ;0 ;-0.25;-1
